"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"UZB","Asia","Uzbekistan","2020-12-16","75538.0","297.0","612.0","2256.941","18.285",,,"4.0","71.72","0.71"
"VNM","Asia","Vietnam","2020-12-16","1405.0","0.0","35.0","14.434","0.36",,"85.847","2.6","75.4","0.694"
"YEM","Asia","Yemen","2020-12-16","2085.0","0.0","606.0","69.906","20.318",,"49.542","0.7","66.12","0.452"
"ALB","Europe","Albania","2020-12-16","50637.0","637.0","1040.0","17595.733","361.387",,,"2.89","78.57","0.785"
"AND","Europe","Andorra","2020-12-16","7446.0","64.0","79.0","96369.637","1022.455",,,,"83.73","0.858"
"AUT","Europe","Austria","2020-12-16","330343.0","2664.0","4764.0","36678.695","528.957",,,"7.37","81.54","0.908"
"BLR","Europe","Belarus","2020-12-16","165897.0","1838.0","1291.0","17556.5","136.624",,,"11.0","74.79","0.808"
"BEL","Europe","Belgium","2020-12-16","615058.0","3636.0","18278.0","53069.748","1577.101",,,"5.64","81.63","0.916"
"BIH","Europe","Bosnia and Herzegovina","2020-12-16","103232.0","902.0","3511.0","31465.352","1070.161",,"97.164","3.5","77.4","0.768"
"BGR","Europe","Bulgaria","2020-12-16","186246.0","1959.0","6196.0","26803.983","891.71",,,"7.454","75.05","0.813"
"HRV","Europe","Croatia","2020-12-16","183045.0","3327.0","2870.0","44587.832","699.102",,,"5.54","78.49","0.831"
"CYP","Europe","Cyprus","2020-12-16","16190.0","401.0","85.0","18483.866","97.043",,,"3.4","80.98","0.869"
"CZE","Europe","Czechia","2020-12-16","594148.0","7897.0","9882.0","55481.277","922.777",,,"6.63","79.38","0.888"
"DNK","Europe","Denmark","2020-12-16","120330.0","3694.0","975.0","20774.479","168.33",,,"2.5","80.9","0.929"
"EST","Europe","Estonia","2020-12-16","19271.0","589.0","160.0","14527.277","120.615",,,"4.69","78.74","0.871"
"FIN","Europe","Finland","2020-12-16","31870.0","411.0","472.0","5751.962","85.188",,,"3.28","81.91","0.92"
"FRA","Europe","France","2020-12-16","2465126.0","17720.0","59472.0","37766.1","911.12",,,"5.98","82.66","0.901"
"DEU","Europe","Germany","2020-12-16","1423830.0","32744.0","24273.0","16994.067","289.709",,,"8.0","81.33","0.936"
"GRC","Europe","Greece","2020-12-16","127557.0","1185.0","3870.0","12237.966","371.292",,,"4.21","82.24","0.87"
"HUN","Europe","Hungary","2020-12-16","288567.0","2804.0","7381.0","29871.278","764.051",,,"7.02","76.88","0.838"
"ISL","Europe","Iceland","2020-12-16","5578.0","7.0","28.0","16345.788","82.051",,,"2.91","82.99","0.935"
"IRL","Europe","Ireland","2020-12-16","77197.0","421.0","2140.0","15633.898","433.392",,,"2.96","82.3","0.938"
"ITA","Europe","Italy","2020-12-16","1888144.0","17568.0","66537.0","31228.695","1100.479",,,"3.18","83.51","0.88"
"OWID_KOS","Europe","Kosovo","2020-12-16","47499.0","296.0","1225.0","24575.558","633.804",,,,,
"LVA","Europe","Latvia","2020-12-16","27495.0","1023.0","382.0","14576.912","202.523",,,"5.57","75.29","0.847"
"LIE","Europe","Liechtenstein","2020-12-16","1600.0","21.0","21.0","41954.008","550.646",,,"2.397","82.49","0.916"
"LTU","Europe","Lithuania","2020-12-16","99869.0","3417.0","907.0","36685.645","333.175",,,"6.56","75.93","0.858"
"LUX","Europe","Luxembourg","2020-12-16","42845.0","595.0","421.0","68445.116","672.55",,,"4.51","82.25","0.904"
"MLT","Europe","Malta","2020-12-16","11415.0","112.0","180.0","25852.756","407.665",,,"4.485","82.53","0.878"
"MDA","Europe","Moldova","2020-12-16","130329.0","1673.0","2650.0","32307.931","656.922",,"86.979","5.8","71.9","0.7"
"MCO","Europe","Monaco","2020-12-16","685.0","7.0","3.0","17454.898","76.445",,,"13.8","86.75",
"MNE","Europe","Montenegro","2020-12-16","42563.0","415.0","610.0","67768.787","971.242",,,"3.861","76.88","0.814"
"NLD","Europe","Netherlands","2020-12-16","650072.0","11271.0","10333.0","37938.536","603.039",,,"3.32","82.28","0.931"
"MKD","Europe","North Macedonia","2020-12-16","75597.0","865.0","2194.0","36285.747","1053.096",,,"4.28","75.8","0.757"
"NOR","Europe","Norway","2020-12-16","42312.0","460.0","402.0","7804.854","74.153",,,"3.6","82.4","0.953"
"POL","Europe","Poland","2020-12-16","1159901.0","12455.0","23914.0","30647.425","631.866",,,"6.62","78.73","0.865"
"PRT","Europe","Portugal","2020-12-16","358296.0","4720.0","5815.0","35138.403","570.282",,,"3.39","82.05","0.847"
"ROU","Europe","Romania","2020-12-16","571749.0","5991.0","13862.0","29720.265","720.565",,,"6.892","76.05","0.811"
"RUS","Europe","Russia","2020-12-16","2708940.0","26074.0","47994.0","18562.716","328.874",,,"8.05","72.58","0.816"
"SMR","Europe","San Marino","2020-12-16","2025.0","43.0","54.0","59667.629","1591.137",,,"3.8","84.97",
"SRB","Europe","Serbia","2020-12-16","282601.0","5353.0","2482.0","41530.901","364.753",,"97.719","5.609","76.0","0.787"
"SVK","Europe","Slovakia","2020-12-16","139088.0","3565.0","1309.0","25475.658","239.759",,,"5.82","77.54","0.855"
